id_barang_pemda;kode_barang;nama_barang;no_regristrasi;kode_pemilik;id_ruang_asal;nama_ruang_asal;bidang_ruang_asal;tempat_ruang_asal;id_ruang_sekarang;nama_ruang_sekarang;bidang_ruang_sekarang;tempat_ruang_sekarang;tgl_pembelian;tgl_pembukuan;merk;type;kategori;ukuran_CC;no_pabrik;no_rangka;no_bpkb;bahan;no_mesin;no_polisi;kondisi_barang;masa_manfaat;harga_awal;harga_total;keterangan;foto_barang
21010010012000088;1.3.2.05.002.001.003;Kursi Besi/Metal;16;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;350000;0.00;;
21010010012000103;1.3.2.05.002.001.039;Meja Komputer;7;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;500000;0.00;;
21010010012000104;1.3.2.05.002.001.039;Meja Komputer;8;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;500000;0.00;;
21010010012000105;1.3.2.05.002.001.039;Meja Komputer;9;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;500000;0.00;;
21010010012000106;1.3.2.05.002.001.039;Meja Komputer;10;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;500000;0.00;;
21010010012000141;1.3.2.05.002.006.012;Wireless;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;1150000;0.00;;
21010010012000142;1.3.2.05.002.006.012;Wireless;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;1150000;0.00;;
21010010012000173;1.3.2.05.002.006.018;Unit Power Supply;11;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;3900000;0.00;;
21010010012000174;1.3.2.05.002.006.018;Unit Power Supply;12;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;3900000;0.00;;
21010010012000182;1.3.2.05.002.006.023;Tustel;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;9000000;0.00;;
21010010012000434;1.3.2.06.001.001.096;Peralatan Studio Audio Lainnya ( dst );5;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;7000000;0.00;;
21010010012000388;1.3.2.06.002.001.022;Alat Komunikasi Telephone lainnya (dst);1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;180000;0.00;;
21010010012000389;1.3.2.06.002.001.022;Alat Komunikasi Telephone lainnya (dst);2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;180000;0.00;;
21010010012000390;1.3.2.06.002.001.022;Alat Komunikasi Telephone lainnya (dst);3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;70000;0.00;;
21010010012000391;1.3.2.06.002.001.022;Alat Komunikasi Telephone lainnya (dst);4;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;70000;0.00;;
21010010012000205;1.3.2.10.001.002.001;P.C Unit;7;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;8900000;0.00;;
21010010012000207;1.3.2.10.001.002.001;P.C Unit;9;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;6300000;0.00;;
21010010012000208;1.3.2.10.001.002.001;P.C Unit;10;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;6300000;0.00;;
21010010012000209;1.3.2.10.001.002.001;P.C Unit;11;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;6300000;0.00;;
21010010012000210;1.3.2.10.001.002.001;P.C Unit;12;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;6300000;0.00;;
